                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3126,                 1.3684,                 1.7013,                0.71514,                0.61538,                0.64297,                0.18555,                 1.9249,                 2.3197,                 2.9404,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.2873,                  1.321,                 1.7202,                 0.8422,                0.82245,                0.82452,                0.31158,                 1.8887,                 2.0831,                 2.9847,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.2812,                 1.3312,                 1.6883,                      1,                0.81685,                0.88426,                 0.3934,                  2.013,                 1.8145,                  3.192,               0.000948,               0.000948,               0.000948
                     37,                 1.1636,                 1.2216,                 1.6172,                0.96803,                0.84615,                0.88464,                0.41557,                 1.9982,                 1.6086,                 3.1444,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.2002,                 1.2156,                 1.6558,                0.99335,                0.92308,                   0.96,                0.47317,                 1.8673,                 1.5779,                 2.8818,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.2794,                 1.2959,                 1.6766,                0.71856,                0.92308,                0.84592,                0.33755,                 1.8956,                      2,                 2.8705,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.2067,                 1.2331,                 1.6131,                0.74724,                 0.4556,                0.62896,                 0.2954,                 2.0231,                 2.1034,                 2.8574,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.2004,                 1.1949,                 1.5741,                      1,                0.53826,                0.75865,                0.30297,                  1.985,                 2.2583,                 2.8136,             0.00087726,             0.00087726,             0.00087726
                     42,                  1.241,                 1.2016,                 1.6149,                0.97831,                0.53846,                0.71971,                0.28516,                 2.1069,                 2.3005,                 2.9623,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.1591,                 1.0334,                 1.5085,                 0.6622,                0.69231,                0.66911,                0.22838,                 2.0785,                  2.201,                 3.0136,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.1104,                 1.0055,                 1.5154,                0.91485,                0.82773,                0.82537,                0.36071,                 1.8878,                 1.8245,                 2.8855,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.1818,                  1.065,                  1.604,                0.85673,                0.92308,                0.90714,                0.34359,                 1.9136,                 1.7536,                 2.9576,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2106,                  1.075,                 1.6284,                0.96298,                0.92308,                0.92527,                0.31273,                 2.0514,                 1.7568,                 3.3138,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.1534,                 1.1031,                   1.55,                0.87594,                0.92308,                0.92742,                0.38163,                 1.8772,                 1.5506,                 3.0209,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.1384,                  1.061,                 1.5298,                0.91433,                0.92308,                0.91834,                0.48886,                 1.8489,                 1.4182,                 2.9674,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.1928,                 1.0707,                 1.6114,                      1,                0.92049,                0.92838,                0.45317,                 1.7885,                  1.412,                 2.8715,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.0211,                 1.0381,                 1.4851,                0.91466,                0.92308,                0.92542,                0.42286,                 1.7415,                 1.4632,                 2.8481,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.1041,                 1.0672,                 1.5267,                 0.6968,                0.92308,                0.85608,                0.37251,                 1.8777,                 1.5718,                 3.1063,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.0857,                 1.0458,                 1.5078,                0.90841,                0.84615,                0.91279,                0.38201,                  1.833,                 1.6116,                 3.0608,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.0697,                0.96854,                 1.4839,                0.89157,                0.76923,                0.86694,                 0.4094,                 1.8618,                 1.5782,                 3.0676,              0.0007075,              0.0007075,              0.0007075
