                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7027,                 1.6429,                 1.7427,                0.70655,                0.63529,                0.63392,                0.23998,                 1.9761,                 1.7363,                  2.229,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7014,                 1.6187,                  1.709,                0.69895,                0.67059,                0.65637,                0.26158,                 1.9693,                 1.8387,                 2.2097,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.6852,                 1.6032,                 1.7306,                0.64934,                0.61176,                0.59595,                0.23119,                 2.0295,                  2.117,                 2.2788,               0.001307,               0.001307,               0.001307
                     38,                 1.6699,                 1.5194,                 1.7157,                0.70263,                0.42353,                0.45955,                0.15265,                 2.3104,                 2.6682,                 2.6759,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7118,                 1.5789,                 1.7449,                0.56709,                0.43529,                0.39618,                0.15429,                 2.2296,                 2.2402,                 2.4381,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.7082,                 1.6472,                 1.7511,                0.58867,                0.50512,                0.54444,                0.22949,                 1.9777,                 1.8897,                  2.173,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6056,                 1.5653,                 1.6694,                0.60745,                0.61901,                0.57635,                0.22502,                 2.0122,                 1.8374,                 2.2387,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.6321,                  1.601,                 1.7162,                0.70959,                0.64706,                0.63934,                 0.2492,                 1.9554,                 1.7971,                 2.2215,               0.001208,               0.001208,               0.001208
                     43,                 1.6884,                 1.5979,                 1.7142,                0.73857,                0.68235,                0.70041,                0.27736,                 1.9765,                 1.5147,                 2.2216,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6034,                 1.5372,                 1.6698,                0.64724,                0.63529,                0.60553,                0.25042,                 2.0279,                 1.6214,                 2.2715,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.6021,                  1.515,                 1.6726,                0.68734,                 0.5949,                0.60883,                0.26747,                 2.0102,                 1.6271,                  2.236,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5897,                 1.5065,                 1.6491,                0.68875,                0.67689,                0.64427,                 0.2681,                 2.0713,                 1.5814,                 2.2873,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.6271,                 1.4737,                 1.6716,                0.66225,                0.63529,                0.61822,                0.25501,                 2.0147,                 1.6657,                 2.1851,               0.001109,               0.001109,               0.001109
                     48,                 1.6116,                 1.5009,                 1.6779,                0.66336,                0.63529,                0.62915,                0.26404,                 1.9716,                 1.7318,                 2.2223,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.6089,                 1.5034,                 1.6506,                0.62693,                0.62353,                0.59803,                0.26537,                 1.9519,                 1.7187,                 2.1674,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.6252,                 1.5358,                 1.6654,                0.73499,                0.72941,                0.68104,                0.29498,                 1.8763,                 1.5549,                 2.0656,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5159,                 1.4217,                 1.6207,                0.75092,                0.60298,                0.65437,                0.28706,                 1.9836,                 1.5012,                 2.1458,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.6103,                 1.4776,                 1.6877,                 0.7391,                0.65882,                0.68079,                0.27991,                 2.0505,                  1.463,                 2.1786,                0.00101,                0.00101,                0.00101
                     53,                 1.5752,                   1.41,                 1.6269,                0.67806,                 0.6938,                0.65102,                0.24182,                 2.0835,                 1.5405,                 2.2082,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5809,                 1.4568,                 1.6431,                0.76029,                0.71765,                0.73449,                0.29986,                 1.9712,                 1.6535,                 2.1311,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5433,                 1.3969,                 1.6336,                0.72727,                0.69412,                0.72344,                0.31899,                 1.9019,                 1.5064,                 2.0965,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5875,                 1.4459,                 1.6712,                0.70935,                0.71765,                0.69491,                0.28679,                 1.9548,                 1.5486,                 2.1818,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.5512,                 1.3619,                 1.6216,                0.73343,                0.64706,                0.67786,                 0.2802,                 1.9716,                 1.5075,                 2.1774,               0.000911,               0.000911,               0.000911
                     58,                 1.5495,                 1.3673,                 1.6109,                0.68374,                0.66134,                0.66514,                0.24764,                 2.0316,                 1.5267,                 2.2206,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5218,                  1.343,                 1.6144,                0.68235,                0.62353,                0.63064,                0.25313,                 2.0415,                 1.5241,                 2.2029,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5442,                 1.4141,                 1.6086,                0.66868,                0.61737,                0.57903,                0.23003,                 2.1224,                 1.7327,                 2.2677,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.4875,                 1.3622,                 1.5917,                0.69525,                0.67059,                0.64549,                0.26294,                  1.975,                 1.5697,                 2.1524,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4992,                 1.3122,                 1.5996,                 0.7151,                0.73826,                0.66065,                0.25744,                 1.9582,                 1.4903,                 2.1797,               0.000812,               0.000812,               0.000812
                     63,                 1.4886,                 1.3165,                 1.5735,                0.73711,                0.70588,                0.70508,                0.29597,                 1.8802,                 1.4433,                 2.0824,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4994,                 1.3283,                 1.5759,                 0.7086,                0.71765,                0.69945,                0.31034,                 1.8691,                 1.4566,                 2.0713,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4949,                 1.3328,                 1.5976,                0.65958,                0.67059,                0.67196,                0.29111,                 1.8884,                 1.4556,                 2.0679,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.488,                 1.3077,                  1.567,                0.67397,                0.74118,                 0.6954,                0.28327,                 1.9321,                 1.4197,                 2.1345,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4601,                 1.3154,                 1.5498,                 0.6156,                0.71765,                0.63075,                0.26411,                 2.0207,                 1.4094,                 2.2096,               0.000713,               0.000713,               0.000713
                     68,                 1.4559,                 1.2652,                 1.5591,                0.74171,                0.71765,                0.71365,                 0.2923,                 2.0908,                 1.3567,                 2.2591,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4459,                 1.2969,                 1.5412,                0.72782,                0.74118,                0.74021,                0.30492,                 1.9924,                 1.4019,                 2.2618,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.4793,                 1.2869,                 1.5655,                 0.7892,                0.71765,                0.75388,                 0.3161,                 1.9747,                 1.3387,                 2.1484,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.5093,                 1.3043,                 1.6078,                0.73981,                0.73596,                0.74261,                0.32497,                 1.9057,                 1.3975,                 2.0816,              0.0006338,              0.0006338,              0.0006338
