                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.57888,                0.65116,                 1.1388,                0.87559,                0.87273,                0.88634,                0.49569,                 1.4949,                0.97354,                 2.3719,              0.0013466,              0.0013466,              0.0013466
                     36,                0.59373,                0.69084,                 1.1438,                0.95294,                    0.8,                0.92758,                0.55272,                 1.4031,                0.91553,                 2.1627,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.5531,                0.64539,                 1.1279,                0.84391,                0.85455,                0.89836,                0.49962,                 1.5401,                 1.0724,                 2.3941,               0.001307,               0.001307,               0.001307
                     38,                0.54284,                 0.6644,                   1.13,                0.81554,                    0.8,                0.85538,                0.51059,                 1.4903,                 1.0081,                 2.3581,              0.0012872,              0.0012872,              0.0012872
                     39,                0.55568,                0.66224,                 1.1331,                0.78875,                0.83636,                0.84894,                0.49799,                 1.4196,                 1.1835,                 2.3182,              0.0012674,              0.0012674,              0.0012674
                     40,                0.55185,                0.64496,                 1.1415,                0.91431,                0.87273,                0.91012,                 0.5601,                 1.3318,                0.95381,                 2.1247,              0.0012476,              0.0012476,              0.0012476
                     41,                0.56432,                0.63374,                 1.1391,                0.91561,                0.87273,                0.90558,                 0.5648,                  1.394,                0.99285,                 2.1041,              0.0012278,              0.0012278,              0.0012278
                     42,                0.52719,                0.60735,                 1.1035,                0.75885,                0.74382,                0.82886,                 0.4503,                 1.6825,                 1.1147,                 2.4397,               0.001208,               0.001208,               0.001208
                     43,                0.53253,                0.61429,                 1.1162,                0.89521,                0.93206,                0.94519,                0.56025,                 1.4732,                0.90345,                 2.1885,              0.0011882,              0.0011882,              0.0011882
                     44,                0.53921,                0.60739,                 1.1188,                0.70191,                0.74545,                0.78401,                0.46782,                 1.5925,                 1.1482,                 2.3178,              0.0011684,              0.0011684,              0.0011684
                     45,                0.54577,                0.62021,                 1.1207,                0.92166,                0.90909,                0.92781,                0.51788,                 1.5204,                 1.0062,                 2.3133,              0.0011486,              0.0011486,              0.0011486
                     46,                0.52776,                0.58817,                 1.1153,                  0.925,                0.92727,                 0.9264,                0.52438,                 1.5005,                0.92666,                 2.3599,              0.0011288,              0.0011288,              0.0011288
                     47,                0.54631,                0.64718,                 1.1182,                0.88481,                0.89091,                0.93621,                0.58271,                  1.359,                0.85196,                 2.2601,               0.001109,               0.001109,               0.001109
                     48,                0.52956,                0.57751,                  1.109,                0.89488,                0.81818,                0.87729,                0.51298,                 1.4443,                 1.0868,                 2.1893,              0.0010892,              0.0010892,              0.0010892
                     49,                0.51368,                0.57323,                 1.0952,                0.94452,                0.94545,                0.96361,                 0.5734,                 1.2664,                0.80046,                 2.0822,              0.0010694,              0.0010694,              0.0010694
                     50,                0.54553,                0.58984,                 1.1127,                0.92038,                0.87273,                0.92142,                0.54841,                 1.4084,                0.88848,                 2.2475,              0.0010496,              0.0010496,              0.0010496
                     51,                0.52788,                0.61217,                 1.1253,                0.94314,                 0.9048,                0.92816,                0.61234,                 1.1582,                0.75773,                 1.9808,              0.0010298,              0.0010298,              0.0010298
                     52,                0.48957,                0.56917,                 1.0645,                0.89613,                0.81818,                0.87908,                0.50059,                 1.5252,                 1.0202,                 2.3892,                0.00101,                0.00101,                0.00101
                     53,                0.51512,                0.60877,                 1.1056,                0.97685,                0.85455,                0.95996,                0.64768,                 1.1562,                0.81549,                 1.9131,              0.0009902,              0.0009902,              0.0009902
                     54,                0.49948,                0.58557,                 1.0956,                0.85409,                0.74501,                0.83623,                0.50286,                 1.5221,                 1.0651,                 2.2411,              0.0009704,              0.0009704,              0.0009704
                     55,                0.52303,                0.66326,                 1.1445,                0.82889,                0.79279,                0.86054,                0.48078,                 1.5423,                0.97734,                 2.3087,              0.0009506,              0.0009506,              0.0009506
                     56,                0.53667,                 0.5945,                 1.1378,                0.95894,                0.84937,                0.91833,                0.61105,                 1.2959,                0.75278,                 2.0149,              0.0009308,              0.0009308,              0.0009308
                     57,                0.61552,                0.68783,                 1.2263,                0.93858,                    0.8,                0.92577,                0.57638,                 1.3548,                0.81935,                 2.1537,               0.000911,               0.000911,               0.000911
                     58,                0.50413,                0.56956,                 1.0997,                0.90377,                0.83636,                0.92589,                0.55342,                 1.3174,                0.82225,                 2.0318,              0.0008912,              0.0008912,              0.0008912
                     59,                0.50922,                0.56948,                 1.1015,                0.93071,                0.83636,                0.92803,                0.56464,                 1.3433,                0.86825,                 2.1289,              0.0008714,              0.0008714,              0.0008714
                     60,                0.50026,                0.57167,                 1.0842,                 0.9245,                0.89052,                0.94304,                0.63162,                 1.1086,                0.72625,                 1.8668,              0.0008516,              0.0008516,              0.0008516
                     61,                0.48434,                0.53896,                 1.0764,                0.89768,                0.92727,                  0.961,                0.59717,                 1.2882,                0.70932,                 2.0774,              0.0008318,              0.0008318,              0.0008318
                     62,                0.47254,                0.54418,                 1.0788,                0.94238,                0.89204,                0.95779,                0.59577,                 1.3196,                 0.7362,                 2.1322,               0.000812,               0.000812,               0.000812
                     63,                0.51424,                0.59925,                 1.1033,                0.89962,                0.89091,                  0.952,                0.61497,                 1.2684,                0.65702,                 2.0402,              0.0007922,              0.0007922,              0.0007922
                     64,                0.49333,                 0.5627,                 1.0857,                0.94267,                0.89091,                 0.9309,                0.55209,                 1.4449,                0.74704,                 2.1829,              0.0007724,              0.0007724,              0.0007724
                     65,                0.46505,                0.52711,                 1.0677,                0.93943,                0.87273,                0.91886,                0.57264,                 1.3305,                0.75551,                 2.0726,              0.0007526,              0.0007526,              0.0007526
                     66,                0.45758,                0.51402,                 1.0645,                0.94363,                0.91318,                0.94733,                 0.6616,                 1.1135,                0.66814,                 1.8412,              0.0007328,              0.0007328,              0.0007328
                     67,                0.46703,                0.53242,                 1.0729,                0.95408,                0.83636,                0.93372,                0.56171,                 1.3664,                0.76373,                 2.1529,               0.000713,               0.000713,               0.000713
                     68,                0.45148,                0.52554,                  1.064,                0.92307,                0.87269,                0.93821,                0.57727,                 1.3524,                 0.8153,                 2.1345,              0.0006932,              0.0006932,              0.0006932
                     69,                0.46521,                0.51214,                 1.0626,                0.95968,                0.87273,                0.96648,                0.57665,                  1.321,                0.76275,                  2.102,              0.0006734,              0.0006734,              0.0006734
                     70,                0.46799,                0.50291,                 1.0789,                0.89118,                0.92727,                0.95623,                0.59316,                 1.2954,                0.68497,                 2.0647,              0.0006536,              0.0006536,              0.0006536
                     71,                0.44266,                0.48251,                 1.0581,                0.92097,                0.92727,                0.94585,                0.63056,                 1.2244,                0.65902,                 1.9821,              0.0006338,              0.0006338,              0.0006338
                     72,                0.47837,                0.51027,                 1.0693,                0.83486,                0.94545,                0.94488,                0.59635,                 1.2837,                0.68497,                 2.0494,               0.000614,               0.000614,               0.000614
                     73,                0.44769,                0.49742,                 1.0529,                0.90825,                0.94545,                0.96108,                0.63101,                  1.271,                0.63365,                 2.0114,              0.0005942,              0.0005942,              0.0005942
                     74,                0.42425,                0.47767,                  1.034,                0.93924,                0.90909,                0.95763,                0.63315,                 1.1391,                0.62611,                 1.9054,              0.0005744,              0.0005744,              0.0005744
                     75,                0.44959,                  0.484,                 1.0527,                0.92691,                0.92233,                0.96369,                0.63393,                 1.1996,                0.60587,                 2.0245,              0.0005546,              0.0005546,              0.0005546
                     76,                  0.446,                0.48503,                 1.0699,                0.87357,                0.90909,                 0.9485,                0.59518,                  1.305,                0.67026,                 2.1772,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.4414,                0.46633,                 1.0569,                0.98063,                0.92067,                0.94607,                0.61937,                 1.2816,                0.64241,                 2.0823,               0.000515,               0.000515,               0.000515
                     78,                0.44717,                0.48846,                 1.0487,                0.89783,                0.95874,                0.95817,                0.64284,                 1.2103,                 0.6179,                  1.968,              0.0004952,              0.0004952,              0.0004952
                     79,                0.45672,                 0.5174,                 1.0535,                0.83625,                0.94545,                0.94757,                0.56718,                 1.3236,                0.73768,                 2.0897,              0.0004754,              0.0004754,              0.0004754
                     80,                0.44511,                0.48707,                 1.0487,                0.95401,                0.92727,                0.95186,                0.65034,                 1.2256,                0.63426,                 1.9991,              0.0004556,              0.0004556,              0.0004556
