                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.36619,                0.36233,                0.88804,                0.10927,                 0.2524,                0.12096,                0.05297,                 2.9046,                 4.2156,                 3.0336,              0.0013466,              0.0013466,              0.0013466
                     36,                0.37925,                0.35406,                 0.8869,                0.16995,                0.21406,                0.15993,                0.07318,                 2.7378,                 4.5673,                 2.8346,              0.0013268,              0.0013268,              0.0013268
                     37,                0.38827,                0.36655,                0.88704,                0.55283,                0.14696,                 0.1977,                0.07957,                   2.64,                 3.8969,                 2.5467,               0.001307,               0.001307,               0.001307
                     38,                0.37835,                0.35889,                0.88682,                0.62367,                0.21406,                0.28657,                0.15332,                 2.2607,                 3.4816,                 2.4426,              0.0012872,              0.0012872,              0.0012872
                     39,                0.34571,                0.34731,                0.88493,                0.66896,                0.21306,                0.27479,                0.14916,                 2.4212,                  3.948,                 2.5057,              0.0012674,              0.0012674,              0.0012674
                     40,                0.35913,                0.34208,                0.88031,                 0.4735,                0.13419,                0.16617,                0.07677,                 2.4243,                 4.3214,                 2.5385,              0.0012476,              0.0012476,              0.0012476
                     41,                0.34535,                0.32688,                0.87266,                0.48112,                0.13738,                0.16652,                0.06498,                 2.5811,                 4.0148,                  2.785,              0.0012278,              0.0012278,              0.0012278
                     42,                0.35676,                0.33421,                0.87809,                0.09412,                0.23003,                0.09331,                0.04516,                 2.5351,                 4.5577,                 2.7732,               0.001208,               0.001208,               0.001208
                     43,                 0.3441,                0.33976,                0.88069,                0.20778,                0.23642,                0.16212,                 0.0807,                 2.4805,                 4.1393,                 2.6771,              0.0011882,              0.0011882,              0.0011882
                     44,                0.35702,                0.33929,                0.87668,                0.46317,                0.10224,                0.12913,                0.06312,                 2.5964,                 4.7585,                 2.6707,              0.0011684,              0.0011684,              0.0011684
                     45,                0.32999,                0.31291,                0.86901,                0.43786,                0.12194,                 0.1622,                0.07752,                 2.3932,                 4.1185,                 2.5889,              0.0011486,              0.0011486,              0.0011486
                     46,                0.33945,                0.33899,                0.87489,                0.64083,                0.23003,                0.29109,                0.14833,                 2.2748,                 3.6644,                 2.4324,              0.0011288,              0.0011288,              0.0011288
                     47,                0.33827,                0.32597,                0.87634,                0.45336,                0.10863,                0.15124,                0.07094,                 2.5417,                 4.2107,                  2.649,               0.001109,               0.001109,               0.001109
                     48,                0.32988,                0.32971,                0.87922,                0.62034,                0.15655,                0.22501,                0.10069,                 2.4533,                 4.1074,                 2.5884,              0.0010892,              0.0010892,              0.0010892
                     49,                0.31998,                0.30863,                0.86656,                0.10799,                0.31949,                0.15236,                0.07361,                 2.5289,                 4.0967,                 2.7121,              0.0010694,              0.0010694,              0.0010694
                     50,                0.32742,                0.32347,                0.87818,                0.09129,                0.20767,                 0.0857,                0.04316,                 2.6416,                 4.6752,                  2.783,              0.0010496,              0.0010496,              0.0010496
                     51,                0.33055,                0.31976,                0.86874,                 0.5616,                0.27796,                0.34379,                0.18671,                 2.3354,                 3.6585,                  2.419,              0.0010298,              0.0010298,              0.0010298
                     52,                0.32464,                0.31127,                0.87165,                0.26218,                0.11502,                0.07637,                0.03916,                 2.4931,                 4.3395,                 2.5515,                0.00101,                0.00101,                0.00101
                     53,                0.33357,                0.31038,                0.87808,                0.17167,                0.25559,                0.21908,                 0.1117,                 2.5224,                 4.3955,                  2.573,              0.0009902,              0.0009902,              0.0009902
                     54,                0.32998,                 0.3135,                0.87611,                0.19366,                0.17572,                0.16091,                0.08269,                 2.5837,                 5.0014,                 2.6895,              0.0009704,              0.0009704,              0.0009704
                     55,                0.32335,                0.30879,                0.87449,                0.21013,                0.35783,                0.27995,                0.14769,                 2.3488,                 4.1648,                 2.5846,              0.0009506,              0.0009506,              0.0009506
                     56,                0.32413,                0.30395,                0.86998,                0.24104,                0.23642,                0.19464,                0.09862,                 2.5507,                 4.6498,                 2.7658,              0.0009308,              0.0009308,              0.0009308
                     57,                0.32838,                0.31077,                0.87012,                0.19048,                0.25559,                0.15858,                0.07706,                 2.4646,                 4.6877,                 2.5538,               0.000911,               0.000911,               0.000911
                     58,                0.30913,                0.30078,                0.87068,                0.23358,                0.30671,                0.26582,                0.13831,                 2.3496,                  4.314,                 2.5161,              0.0008912,              0.0008912,              0.0008912
                     59,                 0.3202,                0.30106,                0.87133,                0.36615,                0.13738,                0.16293,                 0.0798,                 2.4525,                 4.1829,                 2.5435,              0.0008714,              0.0008714,              0.0008714
                     60,                0.32168,                0.30743,                0.87904,                0.18492,                0.32907,                0.22278,                0.11585,                 2.3981,                 4.2092,                 2.4978,              0.0008516,              0.0008516,              0.0008516
                     61,                0.29195,                0.28571,                0.86893,                0.12174,                 0.3131,                0.17458,                0.09182,                 2.4245,                 4.2835,                  2.489,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.3233,                0.29446,                0.86742,                0.54455,                0.20246,                0.27288,                0.14564,                  2.405,                 3.9821,                 2.4792,               0.000812,               0.000812,               0.000812
                     63,                 0.2936,                 0.2909,                0.86276,                0.22833,                0.34505,                0.28254,                0.15751,                 2.2929,                 4.1912,                 2.3876,              0.0007922,              0.0007922,              0.0007922
                     64,                0.30225,                0.28145,                0.86353,                0.47806,                 0.1551,                0.18328,                0.09191,                 2.3464,                 4.1115,                 2.4581,              0.0007724,              0.0007724,              0.0007724
                     65,                0.31716,                0.29171,                0.86789,                0.43702,                0.14696,                0.15724,                0.07606,                  2.366,                 4.2553,                 2.4945,              0.0007526,              0.0007526,              0.0007526
                     66,                0.29959,                0.28611,                0.86948,                0.13487,                0.22364,                0.12171,                0.06467,                 2.2545,                 4.8633,                 2.3958,              0.0007328,              0.0007328,              0.0007328
                     67,                0.29224,                0.27624,                0.86266,                0.53646,                0.20447,                0.25101,                0.13172,                 2.2653,                 3.7117,                 2.4868,               0.000713,               0.000713,               0.000713
                     68,                0.28945,                0.28066,                0.85139,                0.58485,                0.23003,                0.26012,                0.13858,                 2.3033,                 3.6084,                 2.5624,              0.0006932,              0.0006932,              0.0006932
                     69,                0.28058,                0.27497,                0.86259,                0.42569,                0.16933,                0.18615,                0.10015,                 2.2473,                  3.962,                 2.4518,              0.0006734,              0.0006734,              0.0006734
                     70,                  0.312,                0.28975,                0.87222,                 0.2549,                 0.2492,                0.22767,                0.12157,                 2.3356,                 4.6555,                  2.525,              0.0006536,              0.0006536,              0.0006536
                     71,                0.29807,                0.27668,                0.85838,                0.63601,                0.20447,                0.25017,                0.13355,                 2.2386,                 4.0526,                 2.4028,              0.0006338,              0.0006338,              0.0006338
                     72,                0.29074,                0.27999,                 0.8635,                0.65499,                0.21725,                0.29726,                0.16282,                 2.2066,                 3.8953,                 2.4325,               0.000614,               0.000614,               0.000614
                     73,                0.29578,                0.27681,                0.86345,                0.71599,                0.20135,                 0.2938,                0.15491,                 2.2098,                 4.0332,                 2.4437,              0.0005942,              0.0005942,              0.0005942
                     74,                0.30093,                0.28252,                0.85905,                0.58156,                 0.1421,                0.19956,                0.10149,                 2.3674,                  4.415,                 2.5987,              0.0005744,              0.0005744,              0.0005744
                     75,                0.28676,                0.26386,                 0.8619,                0.74226,                0.20447,                0.33884,                0.18888,                  2.217,                 3.9482,                  2.518,              0.0005546,              0.0005546,              0.0005546
                     76,                0.29712,                 0.2621,                 0.8497,                0.76449,                 0.2178,                0.33888,                0.18511,                 2.1902,                 3.9189,                 2.4142,              0.0005348,              0.0005348,              0.0005348
                     77,                0.30294,                0.27451,                 0.8555,                0.67273,                  0.243,                0.33435,                0.19264,                 2.1232,                 3.8626,                 2.3235,               0.000515,               0.000515,               0.000515
                     78,                0.25822,                0.25278,                0.85274,                0.69596,                0.16613,                0.26025,                0.14266,                 2.2234,                 4.2682,                   2.39,              0.0004952,              0.0004952,              0.0004952
                     79,                0.28123,                0.25755,                0.85463,                0.30952,                0.33227,                0.34803,                0.20072,                 2.1937,                 4.2477,                 2.4718,              0.0004754,              0.0004754,              0.0004754
                     80,                0.29204,                0.26293,                0.85604,                0.69288,                0.20904,                0.31348,                0.17688,                 2.1914,                   3.94,                  2.474,              0.0004556,              0.0004556,              0.0004556
                     81,                0.27469,                0.26037,                0.85509,                0.26494,                0.32588,                 0.3064,                0.17477,                 2.2695,                 4.2176,                 2.5469,              0.0004358,              0.0004358,              0.0004358
                     82,                0.27118,                0.25835,                 0.8553,                0.82128,                0.21725,                0.36503,                0.21158,                 2.2221,                 3.9621,                 2.5155,               0.000416,               0.000416,               0.000416
                     83,                0.27224,                0.25695,                0.84985,                0.21124,                0.30032,                 0.2718,                0.15872,                 2.3063,                 4.3603,                 2.4949,              0.0003962,              0.0003962,              0.0003962
                     84,                0.27319,                0.25237,                 0.8497,                0.64616,                0.22045,                0.29776,                0.15996,                 2.2915,                 4.0393,                 2.4776,              0.0003764,              0.0003764,              0.0003764
                     85,                0.27743,                 0.2544,                0.85389,                0.34944,                0.30032,                 0.3447,                0.20427,                  2.257,                 4.4584,                 2.4945,              0.0003566,              0.0003566,              0.0003566
                     86,                0.27743,                0.25375,                0.85423,                0.27795,                0.29393,                0.30711,                0.17994,                 2.2805,                 4.3925,                 2.5208,              0.0003368,              0.0003368,              0.0003368
                     87,                0.26774,                0.24954,                0.84991,                0.66626,                0.17859,                 0.2542,                0.14116,                 2.2721,                 4.4504,                 2.4586,               0.000317,               0.000317,               0.000317
                     88,                0.25251,                0.24169,                0.85434,                0.54247,                0.23642,                0.30919,                 0.1817,                 2.2068,                 4.2559,                  2.381,              0.0002972,              0.0002972,              0.0002972
                     89,                0.25883,                0.24047,                0.85023,                0.32326,                0.34185,                0.37366,                0.22072,                 2.1475,                 4.0996,                 2.3935,              0.0002774,              0.0002774,              0.0002774
                     90,                0.26722,                0.23997,                0.85367,                0.33003,                0.31949,                0.33074,                 0.1863,                 2.3009,                 4.2041,                 2.5918,              0.0002576,              0.0002576,              0.0002576
                     91,                0.26052,                0.21868,                0.82772,                0.79499,                0.27257,                0.38387,                0.21772,                 2.1959,                 3.3493,                 2.3033,              0.0002378,              0.0002378,              0.0002378
                     92,                0.25418,                 0.2137,                0.81925,                0.74945,                 0.1885,                0.28088,                0.14673,                 2.3883,                  4.069,                 2.3911,               0.000218,               0.000218,               0.000218
                     93,                0.25708,                0.21252,                0.83004,                0.49718,                 0.2524,                0.32403,                 0.1819,                 2.2858,                 4.0325,                 2.3436,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.2536,                0.20885,                0.82998,                0.70534,                0.22045,                  0.339,                0.19996,                 2.2065,                 3.7858,                  2.302,              0.0001784,              0.0001784,              0.0001784
                     95,                0.24001,                0.19853,                0.82612,                0.77264,                0.24281,                0.37434,                0.21974,                 2.2715,                 3.7264,                 2.3798,              0.0001586,              0.0001586,              0.0001586
                     96,                0.24484,                0.20226,                0.82343,                0.58438,                0.26837,                0.35944,                0.20439,                 2.2616,                 3.8651,                 2.3882,              0.0001388,              0.0001388,              0.0001388
                     97,                0.24723,                0.20208,                0.82527,                  0.295,                  0.377,                0.36898,                0.21237,                 2.2825,                  3.813,                 2.4442,               0.000119,               0.000119,               0.000119
                     98,                0.23598,                0.19978,                0.82258,                0.28042,                0.33866,                0.34192,                0.19519,                 2.2965,                 3.9651,                  2.443,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.23625,                 0.1959,                0.82071,                0.28191,                0.33866,                0.32103,                0.18058,                 2.3038,                  4.098,                 2.4466,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.24285,                0.19867,                 0.8233,                0.28533,                0.33546,                0.32232,                0.17751,                 2.2931,                 4.1468,                 2.4405,               5.96e-05,               5.96e-05,               5.96e-05
